NDC,CUI_L1_NAME,BRAND_GENERIC,CUI_L2_NAME_ARRAY,INGREDIENT_NAME_ARRAY,BRANDED_INGREDIENT_NAME_ARRAY,PKG_STRENGTH,PKG_QTY,STRENGTH_MG,DFG_NAME_ARRAY,DF_NAME_ARRAY,PIN_NAME_ARRAY,ALL_INGREDIENTS
49281071810,0.5 ml influenza a virus a/michigan/45/2015 (h1n1) antigen 0.09 mg/ml / influenza a virus a/singapore/infimh-16-0019/2016 (h3n2) antigen 0.09 mg/ml / influenza b virus b/maryland/15/2016 antigen 0.09 mg/ml / influenza b virus b/phuket/3073/2013 antigen 0.09 mg/ml prefilled syringe [flublok quadrivalent 2018-2019],brand,"[
  ""influenza a virus a/michigan/45/2015 (h1n1) antigen 0.09 mg/ml / influenza a virus a/singapore/infimh-16-0019/2016 (h3n2) antigen 0.09 mg/ml / influenza b virus b/maryland/15/2016 antigen 0.09 mg/ml / influenza b virus b/phuket/3073/2013 antigen 0.09 mg/ml [flublok quadrivalent 2018-2019]"",
  ""influenza a virus a/michigan/45/2015 (h1n1) antigen 0.09 mg/ml / influenza a virus a/singapore/infimh-16-0019/2016 (h3n2) antigen 0.09 mg/ml / influenza b virus b/maryland/15/2016 antigen 0.09 mg/ml / influenza b virus b/phuket/3073/2013 antigen 0.09 mg/ml [flublok quadrivalent 2018-2019]"",
  ""influenza a virus a/michigan/45/2015 (h1n1) antigen 0.09 mg/ml / influenza a virus a/singapore/infimh-16-0019/2016 (h3n2) antigen 0.09 mg/ml / influenza b virus b/maryland/15/2016 antigen 0.09 mg/ml / influenza b virus b/phuket/3073/2013 antigen 0.09 mg/ml [flublok quadrivalent 2018-2019]""
]","[
  ""influenza A virus (H1N1) antigen"",
  ""influenza A virus (H3N2) antigen"",
  ""influenza B virus antigen""
]","[
  ""Flublok Quadrivalent 2018-2019""
]",,0.5 ML,,"[
  ""Injectable Product""
]","[
  ""Flublok Quadrivalent 2018-2019 Injectable Product""
]","[
  ""influenza A virus A/Brisbane/10/2010 (H1N1) antigen"",
  ""influenza A virus A/Christchurch/16/2010 (H1N1) antigen"",
  ""influenza A virus A/California/7/2009 (H1N1) antigen"",
  ""influenza A virus A/Beijing/32/1992 (H3N2) antigen"",
  ""influenza A virus A/Bolivia/559/2013 (H1N1) antigen"",
  ""influenza A virus A/Singapore/6/1986 (H1N1) antigen"",
  ""influenza A virus A/New Caledonia/20/1999 (H1N1) antigen"",
  ""influenza A virus A/Michigan/45/2015 (H1N1) antigen"",
  ""influenza A virus A/Singapore/GP1908/2015 (H1N1) antigen"",
  ""influenza A virus A/Slovenia/2903/2015 (H1N1) antigen"",
  ""influenza A virus A/Brisbane/02/2018 (H1N1) antigen"",
  ""influenza A virus A/Idaho/07/2018 (H1N1) antigen"",
  ""influenza A virus A/Switzerland/3330/2017 (H1N1) antigen"",
  ""influenza A virus A/Guangdong-Maonan/SWL1536/2019 (H1N1) antigen"",
  ""influenza A virus A/Victoria/2454/2019 (H1N1) antigen"",
  ""influenza A virus A/Hawaii/70/2019 (H1N1) antigen"",
  ""influenza A virus A/Nebraska/14/2019 (H1N1) antigen"",
  ""influenza A virus A/Hawaii/66/2019 (H1N1) antigen"",
  ""influenza A virus A/Victoria/2570/2019 (H1N1) antigen"",
  ""influenza A virus A/Washington/19/2020 (H1N1) antigen"",
  ""influenza A virus A/Wisconsin/588/2019 (H1N1) antigen"",
  ""influenza A virus A/Victoria/1/2020 (H1N1) antigen""
]",influenza A virus (H1N1) antigen || influenza A virus (H3N2) antigen || influenza B virus antigen || Flublok Quadrivalent 2018-2019
49281071910,0.5 ml influenza a virus a/brisbane/02/2018 (h1n1) antigen 0.09 mg/ml / influenza a virus a/kansas/14/2017 (h3n2) antigen 0.09 mg/ml / influenza b virus b/maryland/15/2016 antigen 0.09 mg/ml / influenza b virus b/phuket/3073/2013 antigen 0.09 mg/ml prefilled syringe [flublok quadrivalent 2019-2020],brand,"[
  ""influenza a virus a/brisbane/02/2018 (h1n1) antigen 0.09 mg/ml / influenza a virus a/kansas/14/2017 (h3n2) antigen 0.09 mg/ml / influenza b virus b/maryland/15/2016 antigen 0.09 mg/ml / influenza b virus b/phuket/3073/2013 antigen 0.09 mg/ml [flublok quadrivalent 2019-2020]"",
  ""influenza a virus a/brisbane/02/2018 (h1n1) antigen 0.09 mg/ml / influenza a virus a/kansas/14/2017 (h3n2) antigen 0.09 mg/ml / influenza b virus b/maryland/15/2016 antigen 0.09 mg/ml / influenza b virus b/phuket/3073/2013 antigen 0.09 mg/ml [flublok quadrivalent 2019-2020]"",
  ""influenza a virus a/brisbane/02/2018 (h1n1) antigen 0.09 mg/ml / influenza a virus a/kansas/14/2017 (h3n2) antigen 0.09 mg/ml / influenza b virus b/maryland/15/2016 antigen 0.09 mg/ml / influenza b virus b/phuket/3073/2013 antigen 0.09 mg/ml [flublok quadrivalent 2019-2020]""
]","[
  ""influenza A virus (H1N1) antigen"",
  ""influenza A virus (H3N2) antigen"",
  ""influenza B virus antigen""
]","[
  ""Flublok Quadrivalent 2019-2020""
]",0.09 MG/ML (expressed as influenza A virus A/Brisbane/02/2018 (H1N1) antigen) / 0.09 MG/ML (expressed as influenza A virus A/Kansas/14/2017 (H3N2) antigen) / 0.09 MG/ML (expressed as influenza B virus B/Maryland/15/2016 antigen) / 0.09 MG/ML (expressed as influenza B virus B/Phuket/3073/2013 antigen),0.5 ML,0.1,"[
  ""Injectable Product""
]","[
  ""Flublok Quadrivalent 2019-2020 Injectable Product""
]","[
  ""influenza A virus A/Brisbane/10/2010 (H1N1) antigen"",
  ""influenza A virus A/Christchurch/16/2010 (H1N1) antigen"",
  ""influenza A virus A/California/7/2009 (H1N1) antigen"",
  ""influenza A virus A/Beijing/32/1992 (H3N2) antigen"",
  ""influenza A virus A/Bolivia/559/2013 (H1N1) antigen"",
  ""influenza A virus A/Singapore/6/1986 (H1N1) antigen"",
  ""influenza A virus A/New Caledonia/20/1999 (H1N1) antigen"",
  ""influenza A virus A/Michigan/45/2015 (H1N1) antigen"",
  ""influenza A virus A/Singapore/GP1908/2015 (H1N1) antigen"",
  ""influenza A virus A/Slovenia/2903/2015 (H1N1) antigen"",
  ""influenza A virus A/Brisbane/02/2018 (H1N1) antigen"",
  ""influenza A virus A/Idaho/07/2018 (H1N1) antigen"",
  ""influenza A virus A/Switzerland/3330/2017 (H1N1) antigen"",
  ""influenza A virus A/Guangdong-Maonan/SWL1536/2019 (H1N1) antigen"",
  ""influenza A virus A/Victoria/2454/2019 (H1N1) antigen"",
  ""influenza A virus A/Hawaii/70/2019 (H1N1) antigen"",
  ""influenza A virus A/Nebraska/14/2019 (H1N1) antigen"",
  ""influenza A virus A/Hawaii/66/2019 (H1N1) antigen"",
  ""influenza A virus A/Victoria/2570/2019 (H1N1) antigen"",
  ""influenza A virus A/Washington/19/2020 (H1N1) antigen"",
  ""influenza A virus A/Wisconsin/588/2019 (H1N1) antigen"",
  ""influenza A virus A/Victoria/1/2020 (H1N1) antigen""
]",influenza A virus (H1N1) antigen || influenza A virus (H3N2) antigen || influenza B virus antigen || Flublok Quadrivalent 2019-2020
49281071988,0.5 ml influenza a virus a/brisbane/02/2018 (h1n1) antigen 0.09 mg/ml / influenza a virus a/kansas/14/2017 (h3n2) antigen 0.09 mg/ml / influenza b virus b/maryland/15/2016 antigen 0.09 mg/ml / influenza b virus b/phuket/3073/2013 antigen 0.09 mg/ml prefilled syringe [flublok quadrivalent 2019-2020],brand,"[
  ""influenza a virus a/brisbane/02/2018 (h1n1) antigen 0.09 mg/ml / influenza a virus a/kansas/14/2017 (h3n2) antigen 0.09 mg/ml / influenza b virus b/maryland/15/2016 antigen 0.09 mg/ml / influenza b virus b/phuket/3073/2013 antigen 0.09 mg/ml [flublok quadrivalent 2019-2020]"",
  ""influenza a virus a/brisbane/02/2018 (h1n1) antigen 0.09 mg/ml / influenza a virus a/kansas/14/2017 (h3n2) antigen 0.09 mg/ml / influenza b virus b/maryland/15/2016 antigen 0.09 mg/ml / influenza b virus b/phuket/3073/2013 antigen 0.09 mg/ml [flublok quadrivalent 2019-2020]"",
  ""influenza a virus a/brisbane/02/2018 (h1n1) antigen 0.09 mg/ml / influenza a virus a/kansas/14/2017 (h3n2) antigen 0.09 mg/ml / influenza b virus b/maryland/15/2016 antigen 0.09 mg/ml / influenza b virus b/phuket/3073/2013 antigen 0.09 mg/ml [flublok quadrivalent 2019-2020]""
]","[
  ""influenza A virus (H1N1) antigen"",
  ""influenza A virus (H3N2) antigen"",
  ""influenza B virus antigen""
]","[
  ""Flublok Quadrivalent 2019-2020""
]",0.09 MG/ML (expressed as influenza A virus A/Brisbane/02/2018 (H1N1) antigen) / 0.09 MG/ML (expressed as influenza A virus A/Kansas/14/2017 (H3N2) antigen) / 0.09 MG/ML (expressed as influenza B virus B/Maryland/15/2016 antigen) / 0.09 MG/ML (expressed as influenza B virus B/Phuket/3073/2013 antigen),0.5 ML,0.1,"[
  ""Injectable Product""
]","[
  ""Flublok Quadrivalent 2019-2020 Injectable Product""
]","[
  ""influenza A virus A/Brisbane/10/2010 (H1N1) antigen"",
  ""influenza A virus A/Christchurch/16/2010 (H1N1) antigen"",
  ""influenza A virus A/California/7/2009 (H1N1) antigen"",
  ""influenza A virus A/Beijing/32/1992 (H3N2) antigen"",
  ""influenza A virus A/Bolivia/559/2013 (H1N1) antigen"",
  ""influenza A virus A/Singapore/6/1986 (H1N1) antigen"",
  ""influenza A virus A/New Caledonia/20/1999 (H1N1) antigen"",
  ""influenza A virus A/Michigan/45/2015 (H1N1) antigen"",
  ""influenza A virus A/Singapore/GP1908/2015 (H1N1) antigen"",
  ""influenza A virus A/Slovenia/2903/2015 (H1N1) antigen"",
  ""influenza A virus A/Brisbane/02/2018 (H1N1) antigen"",
  ""influenza A virus A/Idaho/07/2018 (H1N1) antigen"",
  ""influenza A virus A/Switzerland/3330/2017 (H1N1) antigen"",
  ""influenza A virus A/Guangdong-Maonan/SWL1536/2019 (H1N1) antigen"",
  ""influenza A virus A/Victoria/2454/2019 (H1N1) antigen"",
  ""influenza A virus A/Hawaii/70/2019 (H1N1) antigen"",
  ""influenza A virus A/Nebraska/14/2019 (H1N1) antigen"",
  ""influenza A virus A/Hawaii/66/2019 (H1N1) antigen"",
  ""influenza A virus A/Victoria/2570/2019 (H1N1) antigen"",
  ""influenza A virus A/Washington/19/2020 (H1N1) antigen"",
  ""influenza A virus A/Wisconsin/588/2019 (H1N1) antigen"",
  ""influenza A virus A/Victoria/1/2020 (H1N1) antigen""
]",influenza A virus (H1N1) antigen || influenza A virus (H3N2) antigen || influenza B virus antigen || Flublok Quadrivalent 2019-2020
49281072010,0.5 ml influenza a virus a/hawaii/70/2019 (h1n1) antigen 0.09 mg/ml / influenza a virus a/minnesota/41/2019 (h3n2) antigen 0.09 mg/ml / influenza b virus b/phuket/3073/2013 antigen 0.09 mg/ml / influenza b virus b/washington/02/2019 antigen 0.09 mg/ml prefilled syringe [flublok quadrivalent 2020-2021],brand,"[
  ""influenza a virus a/hawaii/70/2019 (h1n1) antigen 0.09 mg/ml / influenza a virus a/minnesota/41/2019 (h3n2) antigen 0.09 mg/ml / influenza b virus b/phuket/3073/2013 antigen 0.09 mg/ml / influenza b virus b/washington/02/2019 antigen 0.09 mg/ml [flublok quadrivalent 2020-2021]"",
  ""influenza a virus a/hawaii/70/2019 (h1n1) antigen 0.09 mg/ml / influenza a virus a/minnesota/41/2019 (h3n2) antigen 0.09 mg/ml / influenza b virus b/phuket/3073/2013 antigen 0.09 mg/ml / influenza b virus b/washington/02/2019 antigen 0.09 mg/ml [flublok quadrivalent 2020-2021]"",
  ""influenza a virus a/hawaii/70/2019 (h1n1) antigen 0.09 mg/ml / influenza a virus a/minnesota/41/2019 (h3n2) antigen 0.09 mg/ml / influenza b virus b/phuket/3073/2013 antigen 0.09 mg/ml / influenza b virus b/washington/02/2019 antigen 0.09 mg/ml [flublok quadrivalent 2020-2021]""
]","[
  ""influenza A virus (H1N1) antigen"",
  ""influenza A virus (H3N2) antigen"",
  ""influenza B virus antigen""
]","[
  ""Flublok Quadrivalent 2020-2021""
]",0.09 MG/ML (expressed as influenza A virus A/Hawaii/70/2019 (H1N1) antigen) / 0.09 MG/ML (expressed as influenza A virus A/Minnesota/41/2019 (H3N2) antigen) / 0.09 MG/ML (expressed as influenza B virus B/Phuket/3073/2013 antigen) / 0.09 MG/ML (expressed as influenza B virus B/Washington/02/2019 antigen),0.5 ML,0.1,"[
  ""Injectable Product""
]","[
  ""Flublok Quadrivalent 2020-2021 Injectable Product""
]","[
  ""influenza A virus A/Brisbane/10/2010 (H1N1) antigen"",
  ""influenza A virus A/Christchurch/16/2010 (H1N1) antigen"",
  ""influenza A virus A/California/7/2009 (H1N1) antigen"",
  ""influenza A virus A/Beijing/32/1992 (H3N2) antigen"",
  ""influenza A virus A/Bolivia/559/2013 (H1N1) antigen"",
  ""influenza A virus A/Singapore/6/1986 (H1N1) antigen"",
  ""influenza A virus A/New Caledonia/20/1999 (H1N1) antigen"",
  ""influenza A virus A/Michigan/45/2015 (H1N1) antigen"",
  ""influenza A virus A/Singapore/GP1908/2015 (H1N1) antigen"",
  ""influenza A virus A/Slovenia/2903/2015 (H1N1) antigen"",
  ""influenza A virus A/Brisbane/02/2018 (H1N1) antigen"",
  ""influenza A virus A/Idaho/07/2018 (H1N1) antigen"",
  ""influenza A virus A/Switzerland/3330/2017 (H1N1) antigen"",
  ""influenza A virus A/Guangdong-Maonan/SWL1536/2019 (H1N1) antigen"",
  ""influenza A virus A/Victoria/2454/2019 (H1N1) antigen"",
  ""influenza A virus A/Hawaii/70/2019 (H1N1) antigen"",
  ""influenza A virus A/Nebraska/14/2019 (H1N1) antigen"",
  ""influenza A virus A/Hawaii/66/2019 (H1N1) antigen"",
  ""influenza A virus A/Victoria/2570/2019 (H1N1) antigen"",
  ""influenza A virus A/Washington/19/2020 (H1N1) antigen"",
  ""influenza A virus A/Wisconsin/588/2019 (H1N1) antigen"",
  ""influenza A virus A/Victoria/1/2020 (H1N1) antigen""
]",influenza A virus (H1N1) antigen || influenza A virus (H3N2) antigen || influenza B virus antigen || Flublok Quadrivalent 2020-2021
49281072110,0.5 ml influenza a virus a/tasmania/503/2020 (h3n2) antigen 0.09 mg/ml / influenza a virus a/wisconsin/588/2019 (h1n1) antigen 0.09 mg/ml / influenza b virus b/phuket/3073/2013 antigen 0.09 mg/ml / influenza b virus b/washington/02/2019 antigen 0.09 mg/ml prefilled syringe [flublok quadrivalent 2021-2022],brand,"[
  ""influenza a virus a/tasmania/503/2020 (h3n2) antigen 0.09 mg/ml / influenza a virus a/wisconsin/588/2019 (h1n1) antigen 0.09 mg/ml / influenza b virus b/phuket/3073/2013 antigen 0.09 mg/ml / influenza b virus b/washington/02/2019 antigen 0.09 mg/ml [flublok quadrivalent 2021-2022]"",
  ""influenza a virus a/tasmania/503/2020 (h3n2) antigen 0.09 mg/ml / influenza a virus a/wisconsin/588/2019 (h1n1) antigen 0.09 mg/ml / influenza b virus b/phuket/3073/2013 antigen 0.09 mg/ml / influenza b virus b/washington/02/2019 antigen 0.09 mg/ml [flublok quadrivalent 2021-2022]"",
  ""influenza a virus a/tasmania/503/2020 (h3n2) antigen 0.09 mg/ml / influenza a virus a/wisconsin/588/2019 (h1n1) antigen 0.09 mg/ml / influenza b virus b/phuket/3073/2013 antigen 0.09 mg/ml / influenza b virus b/washington/02/2019 antigen 0.09 mg/ml [flublok quadrivalent 2021-2022]""
]","[
  ""influenza A virus (H1N1) antigen"",
  ""influenza A virus (H3N2) antigen"",
  ""influenza B virus antigen""
]","[
  ""Flublok Quadrivalent 2021-2022""
]",0.09 MG/ML (expressed as influenza A virus A/Tasmania/503/2020 (H3N2) antigen) / 0.09 MG/ML (expressed as influenza A virus A/Wisconsin/588/2019 (H1N1) antigen) / 0.09 MG/ML (expressed as influenza B virus B/Phuket/3073/2013 antigen) / 0.09 MG/ML (expressed as influenza B virus B/Washington/02/2019 antigen),0.5 ML,0.1,"[
  ""Injectable Product""
]","[
  ""Flublok Quadrivalent 2021-2022 Injectable Product""
]","[
  ""influenza A virus A/Brisbane/10/2010 (H1N1) antigen"",
  ""influenza A virus A/Christchurch/16/2010 (H1N1) antigen"",
  ""influenza A virus A/California/7/2009 (H1N1) antigen"",
  ""influenza A virus A/Beijing/32/1992 (H3N2) antigen"",
  ""influenza A virus A/Bolivia/559/2013 (H1N1) antigen"",
  ""influenza A virus A/Singapore/6/1986 (H1N1) antigen"",
  ""influenza A virus A/New Caledonia/20/1999 (H1N1) antigen"",
  ""influenza A virus A/Michigan/45/2015 (H1N1) antigen"",
  ""influenza A virus A/Singapore/GP1908/2015 (H1N1) antigen"",
  ""influenza A virus A/Slovenia/2903/2015 (H1N1) antigen"",
  ""influenza A virus A/Brisbane/02/2018 (H1N1) antigen"",
  ""influenza A virus A/Idaho/07/2018 (H1N1) antigen"",
  ""influenza A virus A/Switzerland/3330/2017 (H1N1) antigen"",
  ""influenza A virus A/Guangdong-Maonan/SWL1536/2019 (H1N1) antigen"",
  ""influenza A virus A/Victoria/2454/2019 (H1N1) antigen"",
  ""influenza A virus A/Hawaii/70/2019 (H1N1) antigen"",
  ""influenza A virus A/Nebraska/14/2019 (H1N1) antigen"",
  ""influenza A virus A/Hawaii/66/2019 (H1N1) antigen"",
  ""influenza A virus A/Victoria/2570/2019 (H1N1) antigen"",
  ""influenza A virus A/Washington/19/2020 (H1N1) antigen"",
  ""influenza A virus A/Wisconsin/588/2019 (H1N1) antigen"",
  ""influenza A virus A/Victoria/1/2020 (H1N1) antigen""
]",influenza A virus (H1N1) antigen || influenza A virus (H3N2) antigen || influenza B virus antigen || Flublok Quadrivalent 2021-2022
49281072188,0.5 ml influenza a virus a/tasmania/503/2020 (h3n2) antigen 0.09 mg/ml / influenza a virus a/wisconsin/588/2019 (h1n1) antigen 0.09 mg/ml / influenza b virus b/phuket/3073/2013 antigen 0.09 mg/ml / influenza b virus b/washington/02/2019 antigen 0.09 mg/ml prefilled syringe [flublok quadrivalent 2021-2022],brand,"[
  ""influenza a virus a/tasmania/503/2020 (h3n2) antigen 0.09 mg/ml / influenza a virus a/wisconsin/588/2019 (h1n1) antigen 0.09 mg/ml / influenza b virus b/phuket/3073/2013 antigen 0.09 mg/ml / influenza b virus b/washington/02/2019 antigen 0.09 mg/ml [flublok quadrivalent 2021-2022]"",
  ""influenza a virus a/tasmania/503/2020 (h3n2) antigen 0.09 mg/ml / influenza a virus a/wisconsin/588/2019 (h1n1) antigen 0.09 mg/ml / influenza b virus b/phuket/3073/2013 antigen 0.09 mg/ml / influenza b virus b/washington/02/2019 antigen 0.09 mg/ml [flublok quadrivalent 2021-2022]"",
  ""influenza a virus a/tasmania/503/2020 (h3n2) antigen 0.09 mg/ml / influenza a virus a/wisconsin/588/2019 (h1n1) antigen 0.09 mg/ml / influenza b virus b/phuket/3073/2013 antigen 0.09 mg/ml / influenza b virus b/washington/02/2019 antigen 0.09 mg/ml [flublok quadrivalent 2021-2022]""
]","[
  ""influenza A virus (H1N1) antigen"",
  ""influenza A virus (H3N2) antigen"",
  ""influenza B virus antigen""
]","[
  ""Flublok Quadrivalent 2021-2022""
]",0.09 MG/ML (expressed as influenza A virus A/Tasmania/503/2020 (H3N2) antigen) / 0.09 MG/ML (expressed as influenza A virus A/Wisconsin/588/2019 (H1N1) antigen) / 0.09 MG/ML (expressed as influenza B virus B/Phuket/3073/2013 antigen) / 0.09 MG/ML (expressed as influenza B virus B/Washington/02/2019 antigen),0.5 ML,0.1,"[
  ""Injectable Product""
]","[
  ""Flublok Quadrivalent 2021-2022 Injectable Product""
]","[
  ""influenza A virus A/Brisbane/10/2010 (H1N1) antigen"",
  ""influenza A virus A/Christchurch/16/2010 (H1N1) antigen"",
  ""influenza A virus A/California/7/2009 (H1N1) antigen"",
  ""influenza A virus A/Beijing/32/1992 (H3N2) antigen"",
  ""influenza A virus A/Bolivia/559/2013 (H1N1) antigen"",
  ""influenza A virus A/Singapore/6/1986 (H1N1) antigen"",
  ""influenza A virus A/New Caledonia/20/1999 (H1N1) antigen"",
  ""influenza A virus A/Michigan/45/2015 (H1N1) antigen"",
  ""influenza A virus A/Singapore/GP1908/2015 (H1N1) antigen"",
  ""influenza A virus A/Slovenia/2903/2015 (H1N1) antigen"",
  ""influenza A virus A/Brisbane/02/2018 (H1N1) antigen"",
  ""influenza A virus A/Idaho/07/2018 (H1N1) antigen"",
  ""influenza A virus A/Switzerland/3330/2017 (H1N1) antigen"",
  ""influenza A virus A/Guangdong-Maonan/SWL1536/2019 (H1N1) antigen"",
  ""influenza A virus A/Victoria/2454/2019 (H1N1) antigen"",
  ""influenza A virus A/Hawaii/70/2019 (H1N1) antigen"",
  ""influenza A virus A/Nebraska/14/2019 (H1N1) antigen"",
  ""influenza A virus A/Hawaii/66/2019 (H1N1) antigen"",
  ""influenza A virus A/Victoria/2570/2019 (H1N1) antigen"",
  ""influenza A virus A/Washington/19/2020 (H1N1) antigen"",
  ""influenza A virus A/Wisconsin/588/2019 (H1N1) antigen"",
  ""influenza A virus A/Victoria/1/2020 (H1N1) antigen""
]",influenza A virus (H1N1) antigen || influenza A virus (H3N2) antigen || influenza B virus antigen || Flublok Quadrivalent 2021-2022
49281075221,purified protein derivative of tuberculin 50 unt/ml injectable solution [tubersol],brand,"[
  ""purified protein derivative of tuberculin 50 unt/ml [tubersol]""
]","[
  ""purified protein derivative of tuberculin""
]","[
  ""Tubersol""
]",50 UNT/ML,,50.0,"[
  ""Injectable Product""
]","[
  ""Tubersol Injectable Product""
]",,purified protein derivative of tuberculin || Tubersol
49281086055,"poliovirus vaccine inactivated, type 1 (mahoney) 80 unt/ml / poliovirus vaccine inactivated, type 2 (mef-1) 16 unt/ml / poliovirus vaccine inactivated, type 3 (saukett) 64 unt/ml injectable suspension [ipol]",brand,"[
  ""poliovirus vaccine inactivated, type 1 (mahoney) 80 unt/ml / poliovirus vaccine inactivated, type 2 (mef-1) 16 unt/ml / poliovirus vaccine inactivated, type 3 (saukett) 64 unt/ml [ipol]"",
  ""poliovirus vaccine inactivated, type 1 (mahoney) 80 unt/ml / poliovirus vaccine inactivated, type 2 (mef-1) 16 unt/ml / poliovirus vaccine inactivated, type 3 (saukett) 64 unt/ml [ipol]"",
  ""poliovirus vaccine inactivated, type 1 (mahoney) 80 unt/ml / poliovirus vaccine inactivated, type 2 (mef-1) 16 unt/ml / poliovirus vaccine inactivated, type 3 (saukett) 64 unt/ml [ipol]""
]","[
  ""poliovirus vaccine inactivated, type 1 (Mahoney)"",
  ""poliovirus vaccine inactivated, type 2 (MEF-1)"",
  ""poliovirus vaccine inactivated, type 3 (Saukett)""
]","[
  ""Ipol""
]",80 UNT/ML / 16 UNT/ML / 64 UNT/ML,,80.0,"[
  ""Injectable Product""
]","[
  ""Ipol Injectable Product""
]",,"poliovirus vaccine inactivated, type 1 (Mahoney) || poliovirus vaccine inactivated, type 2 (MEF-1) || poliovirus vaccine inactivated, type 3 (Saukett) || Ipol"
49281086055,"0.5 ml poliovirus vaccine inactivated, type 1 (mahoney) 80 unt/ml / poliovirus vaccine inactivated, type 2 (mef-1) 16 unt/ml / poliovirus vaccine inactivated, type 3 (saukett) 64 unt/ml prefilled syringe [ipol]",brand,"[
  ""poliovirus vaccine inactivated, type 1 (mahoney) 80 unt/ml / poliovirus vaccine inactivated, type 2 (mef-1) 16 unt/ml / poliovirus vaccine inactivated, type 3 (saukett) 64 unt/ml [ipol]"",
  ""poliovirus vaccine inactivated, type 1 (mahoney) 80 unt/ml / poliovirus vaccine inactivated, type 2 (mef-1) 16 unt/ml / poliovirus vaccine inactivated, type 3 (saukett) 64 unt/ml [ipol]"",
  ""poliovirus vaccine inactivated, type 1 (mahoney) 80 unt/ml / poliovirus vaccine inactivated, type 2 (mef-1) 16 unt/ml / poliovirus vaccine inactivated, type 3 (saukett) 64 unt/ml [ipol]""
]","[
  ""poliovirus vaccine inactivated, type 1 (Mahoney)"",
  ""poliovirus vaccine inactivated, type 2 (MEF-1)"",
  ""poliovirus vaccine inactivated, type 3 (Saukett)""
]","[
  ""Ipol""
]",,0.5 ML,,"[
  ""Injectable Product""
]","[
  ""Ipol Injectable Product""
]",,"poliovirus vaccine inactivated, type 1 (Mahoney) || poliovirus vaccine inactivated, type 2 (MEF-1) || poliovirus vaccine inactivated, type 3 (Saukett) || Ipol"
52565000205,diclofenac sodium 15 mg/ml topical solution,generic,"[
  ""diclofenac sodium 15 mg/ml""
]","[
  ""diclofenac""
]",[],15 MG/ML,,15.0,"[
  ""Topical Product""
]","[
  ""diclofenac Topical Product""
]","[
  ""diclofenac sodium"",
  ""diclofenac diethylammonium"",
  ""diclofenac epolamine"",
  ""diclofenac potassium""
]",diclofenac
52565000730,lidocaine 25 mg/ml / prilocaine 25 mg/ml topical cream,generic,"[
  ""lidocaine 25 mg/ml"",
  ""prilocaine 25 mg/ml""
]","[
  ""lidocaine"",
  ""prilocaine""
]",[],25 MG/ML / 25 MG/ML,,25.0,"[
  ""Topical Product""
]","[
  ""lidocaine / prilocaine Topical Product""
]",,lidocaine || prilocaine
52565001059,triamcinolone acetonide 0.25 mg/ml topical lotion,generic,"[
  ""triamcinolone acetonide 0.25 mg/ml""
]","[
  ""triamcinolone""
]",[],0.25 MG/ML,,0.3,"[
  ""Topical Product""
]","[
  ""triamcinolone Topical Product""
]","[
  ""triamcinolone acetonide"",
  ""triamcinolone diacetate"",
  ""triamcinolone acetonide 21-dipotassium phosphate"",
  ""triamcinolone hexacetonide""
]",triamcinolone
52565001159,triamcinolone acetonide 1 mg/ml topical lotion,generic,"[
  ""triamcinolone acetonide 1 mg/ml""
]","[
  ""triamcinolone""
]",[],1 MG/ML,,1.0,"[
  ""Topical Product""
]","[
  ""triamcinolone Topical Product""
]","[
  ""triamcinolone acetonide"",
  ""triamcinolone diacetate"",
  ""triamcinolone acetonide 21-dipotassium phosphate"",
  ""triamcinolone hexacetonide""
]",triamcinolone
52565001259,fluocinolone acetonide 0.1 mg/ml topical solution,generic,"[
  ""fluocinolone acetonide 0.1 mg/ml""
]","[
  ""fluocinolone""
]",[],0.1 MG/ML,,0.1,"[
  ""Topical Product""
]","[
  ""fluocinolone Topical Product""
]","[
  ""fluocinolone acetonide""
]",fluocinolone
52565001315,fluocinolone acetonide 0.00025 mg/mg topical ointment,generic,"[
  ""fluocinolone acetonide 0.00025 mg/mg""
]","[
  ""fluocinolone""
]",[],0.00025 MG/MG,,0.0,"[
  ""Topical Product""
]","[
  ""fluocinolone Topical Product""
]","[
  ""fluocinolone acetonide""
]",fluocinolone
52565001415,triamcinolone acetonide 0.001 mg/mg topical ointment,generic,"[
  ""triamcinolone acetonide 0.001 mg/mg""
]","[
  ""triamcinolone""
]",[],0.001 MG/MG,,0.0,"[
  ""Topical Product""
]","[
  ""triamcinolone Topical Product""
]","[
  ""triamcinolone acetonide"",
  ""triamcinolone diacetate"",
  ""triamcinolone acetonide 21-dipotassium phosphate"",
  ""triamcinolone hexacetonide""
]",triamcinolone
52565001480,triamcinolone acetonide 0.001 mg/mg topical ointment,generic,"[
  ""triamcinolone acetonide 0.001 mg/mg""
]","[
  ""triamcinolone""
]",[],0.001 MG/MG,,0.0,"[
  ""Topical Product""
]","[
  ""triamcinolone Topical Product""
]","[
  ""triamcinolone acetonide"",
  ""triamcinolone diacetate"",
  ""triamcinolone acetonide 21-dipotassium phosphate"",
  ""triamcinolone hexacetonide""
]",triamcinolone
