CODE,CODE_ORIG,CODE_DESCRIPTION
I341,I34.1,Nonrheumatic mitral (valve) prolapse
I342,I34.2,Nonrheumatic mitral (valve) stenosis
I348,I34.8,Other nonrheumatic mitral valve disorders
I349,I34.9,"Nonrheumatic mitral valve disorder, unspecified"
I350,I35.0,Nonrheumatic aortic (valve) stenosis
I351,I35.1,Nonrheumatic aortic (valve) insufficiency
I352,I35.2,Nonrheumatic aortic (valve) stenosis with insufficiency
I358,I35.8,Other nonrheumatic aortic valve disorders
I359,I35.9,"Nonrheumatic aortic valve disorder, unspecified"
I361,I36.1,Nonrheumatic tricuspid (valve) insufficiency
I368,I36.8,Other nonrheumatic tricuspid valve disorders
I369,I36.9,"Nonrheumatic tricuspid valve disorder, unspecified"
I371,I37.1,Nonrheumatic pulmonary valve insufficiency
I378,I37.8,Other nonrheumatic pulmonary valve disorders
I38,I38,"Endocarditis, valve unspecified"
I400,I40.0,Infective myocarditis
I420,I42.0,Dilated cardiomyopathy
I422,I42.2,Other hypertrophic cardiomyopathy
I426,I42.6,Alcoholic cardiomyopathy
I428,I42.8,Other cardiomyopathies
I429,I42.9,"Cardiomyopathy, unspecified"
I43,I43,Cardiomyopathy in diseases classified elsewhere
I440,I44.0,"Atrioventricular block, first degree"
I441,I44.1,"Atrioventricular block, second degree"
I442,I44.2,"Atrioventricular block, complete"
I444,I44.4,Left anterior fascicular block
I447,I44.7,"Left bundle-branch block, unspecified"
I4510,I45.10,Unspecified right bundle-branch block
I4519,I45.19,Other right bundle-branch block
I452,I45.2,Bifascicular block
I453,I45.3,Trifascicular block
I456,I45.6,Pre-excitation syndrome
I4581,I45.81,Long QT syndrome
I459,I45.9,"Conduction disorder, unspecified"
I468,I46.8,Cardiac arrest due to other underlying condition
I469,I46.9,"Cardiac arrest, cause unspecified"
I471,I47.1,Supraventricular tachycardia
I472,I47.2,Ventricular tachycardia
I479,I47.9,"Paroxysmal tachycardia, unspecified"
I480,I48.0,Paroxysmal atrial fibrillation
I481,I48.1,Persistent atrial fibrillation
I4819,I48.19,Other persistent atrial fibrillation
I482,I48.2,Chronic atrial fibrillation
I4820,I48.20,"Chronic atrial fibrillation, unspecified"
I4821,I48.21,Permanent atrial fibrillation
I484,I48.4,Atypical atrial flutter
I4891,I48.91,Unspecified atrial fibrillation
I4892,I48.92,Unspecified atrial flutter
I491,I49.1,Atrial premature depolarization
I493,I49.3,Ventricular premature depolarization
I495,I49.5,Sick sinus syndrome
I498,I49.8,Other specified cardiac arrhythmias
I499,I49.9,"Cardiac arrhythmia, unspecified"
I501,I50.1,"Left ventricular failure, unspecified"
I5020,I50.20,Unspecified systolic (congestive) heart failure
I5021,I50.21,Acute systolic (congestive) heart failure
I5022,I50.22,Chronic systolic (congestive) heart failure
I5023,I50.23,Acute on chronic systolic (congestive) heart failure
I5030,I50.30,Unspecified diastolic (congestive) heart failure
I5031,I50.31,Acute diastolic (congestive) heart failure
I5032,I50.32,Chronic diastolic (congestive) heart failure
I5033,I50.33,Acute on chronic diastolic (congestive) heart failure
I5040,I50.40,Unspecified combined systolic (congestive) and diastolic (congestive) heart failure
I5042,I50.42,Chronic combined systolic (congestive) and diastolic (congestive) heart failure
I5043,I50.43,Acute on chronic combined systolic (congestive) and diastolic (congestive) heart failure
I50810,I50.810,"Right heart failure, unspecified"
I50813,I50.813,Acute on chronic right heart failure
I50814,I50.814,Right heart failure due to left heart failure
I5082,I50.82,Biventricular heart failure
I5084,I50.84,End stage heart failure
I509,I50.9,"Heart failure, unspecified"
I510,I51.0,"Cardiac septal defect, acquired"
I513,I51.3,"Intracardiac thrombosis, not elsewhere classified"
I517,I51.7,Cardiomegaly
I5189,I51.89,Other ill-defined heart diseases
I519,I51.9,"Heart disease, unspecified"
I619,I61.9,"Nontraumatic intracerebral hemorrhage, unspecified"
I6200,I62.00,"Nontraumatic subdural hemorrhage, unspecified"
I6201,I62.01,Nontraumatic acute subdural hemorrhage
I6202,I62.02,Nontraumatic subacute subdural hemorrhage
I6203,I62.03,Nontraumatic chronic subdural hemorrhage
I63,I63,Cerebral infarction
I63031,I63.031,Cerebral infarction due to thrombosis of right carotid artery
I63231,I63.231,Cerebral infarction due to unspecified occlusion or stenosis of right carotid arteries
I6330,I63.30,Cerebral infarction due to thrombosis of unspecified cerebral artery
I63333,I63.333,Cerebral infarction due to thrombosis of bilateral posterior cerebral arteries
I63411,I63.411,Cerebral infarction due to embolism of right middle cerebral artery
I63413,I63.413,Cerebral infarction due to embolism of bilateral middle cerebral arteries
I63419,I63.419,Cerebral infarction due to embolism of unspecified middle cerebral artery
I63433,I63.433,Cerebral infarction due to embolism of bilateral posterior cerebral arteries
I63439,I63.439,Cerebral infarction due to embolism of unspecified posterior cerebral artery
I6350,I63.50,Cerebral infarction due to unspecified occlusion or stenosis of unspecified cerebral artery
I63511,I63.511,Cerebral infarction due to unspecified occlusion or stenosis of right middle cerebral artery
I63512,I63.512,Cerebral infarction due to unspecified occlusion or stenosis of left middle cerebral artery
I63532,I63.532,Cerebral infarction due to unspecified occlusion or stenosis of left posterior cerebral artery
I63533,I63.533,Cerebral infarction due to unspecified occlusion or stenosis of bilateral posterior cerebral arteries
I638,I63.8,Other cerebral infarction
I6389,I63.89,Other cerebral infarction
I639,I63.9,"Cerebral infarction, unspecified"
I6503,I65.03,Occlusion and stenosis of bilateral vertebral arteries
I6521,I65.21,Occlusion and stenosis of right carotid artery
I6522,I65.22,Occlusion and stenosis of left carotid artery
I6523,I65.23,Occlusion and stenosis of bilateral carotid arteries
I6529,I65.29,Occlusion and stenosis of unspecified carotid artery
I671,I67.1,"Cerebral aneurysm, nonruptured"
I672,I67.2,Cerebral atherosclerosis
I6782,I67.82,Cerebral ischemia
I6789,I67.89,Other cerebrovascular disease
I679,I67.9,"Cerebrovascular disease, unspecified"
I69,I69,Sequelae of cerebrovascular disease
I69152,I69.152,Hemiplegia and hemiparesis following nontraumatic intracerebral hemorrhage affecting left dominant side
I69212,I69.212,Visuospatial deficit and spatial neglect following other nontraumatic intracranial hemorrhage
I69220,I69.220,Aphasia following other nontraumatic intracranial hemorrhage
I69252,I69.252,Hemiplegia and hemiparesis following other nontraumatic intracranial hemorrhage affecting left dominant side
I6930,I69.30,Unspecified sequelae of cerebral infarction
I69318,I69.318,Other symptoms and signs involving cognitive functions following cerebral infarction
I69320,I69.320,Aphasia following cerebral infarction
I69322,I69.322,Dysarthria following cerebral infarction
I69351,I69.351,Hemiplegia and hemiparesis following cerebral infarction affecting right dominant side
I69359,I69.359,Hemiplegia and hemiparesis following cerebral infarction affecting unspecified side
I69391,I69.391,Dysphagia following cerebral infarction
I69398,I69.398,Other sequelae of cerebral infarction
I69818,I69.818,Other symptoms and signs involving cognitive functions following other cerebrovascular disease
V163,V16.3,Person boarding or alighting a pedal cycle injured in collision with other nonmotor vehicle in nontraffic accident
V17,V17,Pedal cycle rider injured in collision with fixed or stationary object
V173,V17.3,Person boarding or alighting a pedal cycle injured in collision with fixed or stationary object
V180,V18.0,Pedal cycle driver injured in noncollision transport accident in nontraffic accident
V202,V20.2,Unspecified motorcycle rider injured in collision with pedestrian or animal in nontraffic accident
V22,V22,Motorcycle rider injured in collision with two- or three-wheeled motor vehicle
V221,V22.1,Motorcycle passenger injured in collision with two- or three-wheeled motor vehicle in nontraffic accident
V222,V22.2,Unspecified motorcycle rider injured in collision with two- or three-wheeled motor vehicle in nontraffic accident
V23,V23,"Motorcycle rider injured in collision with car, pick-up truck or van"
V230,V23.0,"Motorcycle driver injured in collision with car, pick-up truck or van in nontraffic accident"
V239,V23.9,"Unspecified motorcycle rider injured in collision with car, pick-up truck or van in traffic accident"
V24,V24,Motorcycle rider injured in collision with heavy transport vehicle or bus
V241,V24.1,Motorcycle passenger injured in collision with heavy transport vehicle or bus in nontraffic accident
V25,V25,Motorcycle rider injured in collision with railway train or railway vehicle
V252,V25.2,Unspecified motorcycle rider injured in collision with railway train or railway vehicle in nontraffic accident
V259,V25.9,Unspecified motorcycle rider injured in collision with railway train or railway vehicle in traffic accident
V270,V27.0,Motorcycle driver injured in collision with fixed or stationary object in nontraffic accident
V271,V27.1,Motorcycle passenger injured in collision with fixed or stationary object in nontraffic accident
V28,V28,Motorcycle rider injured in noncollision transport accident
M119,M11.9,"Crystal arthropathy, unspecified"
M12262,M12.262,"Villonodular synovitis (pigmented), left knee"
M12811,M12.811,"Other specific arthropathies, not elsewhere classified, right shoulder"
M12821,M12.821,"Other specific arthropathies, not elsewhere classified, right elbow"
M12822,M12.822,"Other specific arthropathies, not elsewhere classified, left elbow"
M1288,M12.88,"Other specific arthropathies, not elsewhere classified, other specified site"
M129,M12.9,"Arthropathy, unspecified"
M130,M13.0,"Polyarthritis, unspecified"
M1310,M13.10,"Monoarthritis, not elsewhere classified, unspecified site"
M13162,M13.162,"Monoarthritis, not elsewhere classified, left knee"
M13179,M13.179,"Monoarthritis, not elsewhere classified, unspecified ankle and foot"
M1380,M13.80,"Other specified arthritis, unspecified site"
M13811,M13.811,"Other specified arthritis, right shoulder"
M13841,M13.841,"Other specified arthritis, right hand"
M13842,M13.842,"Other specified arthritis, left hand"
M13861,M13.861,"Other specified arthritis, right knee"
M13862,M13.862,"Other specified arthritis, left knee"
M13869,M13.869,"Other specified arthritis, unspecified knee"
M13871,M13.871,"Other specified arthritis, right ankle and foot"
M13872,M13.872,"Other specified arthritis, left ankle and foot"
M1389,M13.89,"Other specified arthritis, multiple sites"
M14671,M14.671,"Charcôt's joint, right ankle and foot"
M150,M15.0,Primary generalized (osteo)arthritis
M151,M15.1,Heberden's nodes (with arthropathy)
M152,M15.2,Bouchard's nodes (with arthropathy)
M153,M15.3,Secondary multiple arthritis
M154,M15.4,Erosive (osteo)arthritis
M158,M15.8,Other polyosteoarthritis
M159,M15.9,"Polyosteoarthritis, unspecified"
M160,M16.0,Bilateral primary osteoarthritis of hip
M1610,M16.10,"Unilateral primary osteoarthritis, unspecified hip"
M1611,M16.11,"Unilateral primary osteoarthritis, right hip"
M1612,M16.12,"Unilateral primary osteoarthritis, left hip"
M1631,M16.31,"Unilateral osteoarthritis resulting from hip dysplasia, right hip"
M169,M16.9,"Osteoarthritis of hip, unspecified"
M170,M17.0,Bilateral primary osteoarthritis of knee
M1710,M17.10,"Unilateral primary osteoarthritis, unspecified knee"
M1711,M17.11,"Unilateral primary osteoarthritis, right knee"
M1712,M17.12,"Unilateral primary osteoarthritis, left knee"
M1731,M17.31,"Unilateral post-traumatic osteoarthritis, right knee"
M1732,M17.32,"Unilateral post-traumatic osteoarthritis, left knee"
M174,M17.4,Other bilateral secondary osteoarthritis of knee
M175,M17.5,Other unilateral secondary osteoarthritis of knee
M179,M17.9,"Osteoarthritis of knee, unspecified"
M180,M18.0,Bilateral primary osteoarthritis of first carpometacarpal joints
M1811,M18.11,"Unilateral primary osteoarthritis of first carpometacarpal joint, right hand"
M1812,M18.12,"Unilateral primary osteoarthritis of first carpometacarpal joint, left hand"
M1851,M18.51,"Other unilateral secondary osteoarthritis of first carpometacarpal joint, right hand"
M1852,M18.52,"Other unilateral secondary osteoarthritis of first carpometacarpal joint, left hand"
M189,M18.9,"Osteoarthritis of first carpometacarpal joint, unspecified"
M19011,M19.011,"Primary osteoarthritis, right shoulder"
M19012,M19.012,"Primary osteoarthritis, left shoulder"
M19019,M19.019,"Primary osteoarthritis, unspecified shoulder"
M19021,M19.021,"Primary osteoarthritis, right elbow"
M19022,M19.022,"Primary osteoarthritis, left elbow"
M19029,M19.029,"Primary osteoarthritis, unspecified elbow"
M19031,M19.031,"Primary osteoarthritis, right wrist"
M19032,M19.032,"Primary osteoarthritis, left wrist"
M19041,M19.041,"Primary osteoarthritis, right hand"
M19042,M19.042,"Primary osteoarthritis, left hand"
M19049,M19.049,"Primary osteoarthritis, unspecified hand"
M19071,M19.071,"Primary osteoarthritis, right ankle and foot"
M19072,M19.072,"Primary osteoarthritis, left ankle and foot"
M19079,M19.079,"Primary osteoarthritis, unspecified ankle and foot"
M1909,M19.09,"Primary osteoarthritis, other specified site"
M19112,M19.112,"Post-traumatic osteoarthritis, left shoulder"
M19121,M19.121,"Post-traumatic osteoarthritis, right elbow"
M19172,M19.172,"Post-traumatic osteoarthritis, left ankle and foot"
M19211,M19.211,"Secondary osteoarthritis, right shoulder"
M19271,M19.271,"Secondary osteoarthritis, right ankle and foot"
M19272,M19.272,"Secondary osteoarthritis, left ankle and foot"
M1990,M19.90,"Unspecified osteoarthritis, unspecified site"
M1991,M19.91,"Primary osteoarthritis, unspecified site"
M1A00X0,M1A.00X0,"Idiopathic chronic gout, unspecified site, without tophus (tophi)"
M1A0710,M1A.0710,"Idiopathic chronic gout, right ankle and foot, without tophus (tophi)"
M1A0790,M1A.0790,"Idiopathic chronic gout, unspecified ankle and foot, without tophus (tophi)"
M1A09X0,M1A.09X0,"Idiopathic chronic gout, multiple sites, without tophus (tophi)"
M1A9XX0,M1A.9XX0,"Chronic gout, unspecified, without tophus (tophi)"
M20011,M20.011,Mallet finger of right finger(s)
M20019,M20.019,Mallet finger of unspecified finger(s)
M2010,M20.10,"Hallux valgus (acquired), unspecified foot"
M2011,M20.11,"Hallux valgus (acquired), right foot"
M2012,M20.12,"Hallux valgus (acquired), left foot"
M2021,M20.21,"Hallux rigidus, right foot"
M2022,M20.22,"Hallux rigidus, left foot"
M2040,M20.40,"Other hammer toe(s) (acquired), unspecified foot"
M2041,M20.41,"Other hammer toe(s) (acquired), right foot"
M2042,M20.42,"Other hammer toe(s) (acquired), left foot"
M205X1,M20.5X1,"Other deformities of toe(s) (acquired), right foot"
M205X2,M20.5X2,"Other deformities of toe(s) (acquired), left foot"
M21061,M21.061,"Valgus deformity, not elsewhere classified, right knee"
M21062,M21.062,"Valgus deformity, not elsewhere classified, left knee"
M21071,M21.071,"Valgus deformity, not elsewhere classified, right ankle"
M21072,M21.072,"Valgus deformity, not elsewhere classified, left ankle"
M21162,M21.162,"Varus deformity, not elsewhere classified, left knee"
M21371,M21.371,"Foot drop, right foot"
M21372,M21.372,"Foot drop, left foot"
M21379,M21.379,"Foot drop, unspecified foot"
M2140,M21.40,"Flat foot [pes planus] (acquired), unspecified foot"
M2141,M21.41,"Flat foot [pes planus] (acquired), right foot"
M2142,M21.42,"Flat foot [pes planus] (acquired), left foot"
M21532,M21.532,"Acquired clawfoot, left foot"
M21611,M21.611,Bunion of right foot
M21612,M21.612,Bunion of left foot
M21619,M21.619,Bunion of unspecified foot
M21621,M21.621,Bunionette of right foot
M216X1,M21.6X1,Other acquired deformities of right foot
M216X2,M21.6X2,Other acquired deformities of left foot
M216X9,M21.6X9,Other acquired deformities of unspecified foot
M21851,M21.851,Other specified acquired deformities of right thigh
M21852,M21.852,Other specified acquired deformities of left thigh
M21969,M21.969,Unspecified acquired deformity of unspecified lower leg
M222X1,M22.2X1,"Patellofemoral disorders, right knee"
M222X2,M22.2X2,"Patellofemoral disorders, left knee"
M222X9,M22.2X9,"Patellofemoral disorders, unspecified knee"
M2241,M22.41,"Chondromalacia patellae, right knee"
M2242,M22.42,"Chondromalacia patellae, left knee"
M94261,M94.261,"Chondromalacia, right knee"
M94262,M94.262,"Chondromalacia, left knee"
M948X6,M94.8X6,"Other specified disorders of cartilage, lower leg"
M949,M94.9,"Disorder of cartilage, unspecified"
M950,M95.0,Acquired deformity of nose
M952,M95.2,Other acquired deformity of head
M958,M95.8,Other specified acquired deformities of musculoskeletal system
M961,M96.1,"Postlaminectomy syndrome, not elsewhere classified"
M9689,M96.89,Other intraoperative and postprocedural complications and disorders of the musculoskeletal system
M97,M97,Periprosthetic fracture around internal prosthetic joint
M9702XA,M97.02XA,"Periprosthetic fracture around internal prosthetic left hip joint, initial encounter"
M9712XA,M97.12XA,"Periprosthetic fracture around internal prosthetic left knee joint, initial encounter"
M9712XD,M97.12XD,"Periprosthetic fracture around internal prosthetic left knee joint, subsequent encounter"
M9732XA,M97.32XA,"Periprosthetic fracture around internal prosthetic left shoulder joint, initial encounter"
M9732XD,M97.32XD,"Periprosthetic fracture around internal prosthetic left shoulder joint, subsequent encounter"
M9900,M99.00,Segmental and somatic dysfunction of head region
M9901,M99.01,Segmental and somatic dysfunction of cervical region
M9902,M99.02,Segmental and somatic dysfunction of thoracic region
M9903,M99.03,Segmental and somatic dysfunction of lumbar region
M9904,M99.04,Segmental and somatic dysfunction of sacral region
M9905,M99.05,Segmental and somatic dysfunction of pelvic region
M9906,M99.06,Segmental and somatic dysfunction of lower extremity
M9907,M99.07,Segmental and somatic dysfunction of upper extremity
M9908,M99.08,Segmental and somatic dysfunction of rib cage
M9913,M99.13,Subluxation complex (vertebral) of lumbar region
M9923,M99.23,Subluxation stenosis of neural canal of lumbar region
M9926,M99.26,Subluxation stenosis of neural canal of lower extremity
M9951,M99.51,Intervertebral disc stenosis of neural canal of cervical region
M9971,M99.71,Connective tissue and disc stenosis of intervertebral foramina of cervical region
M9973,M99.73,Connective tissue and disc stenosis of intervertebral foramina of lumbar region
M9981,M99.81,Other biomechanical lesions of cervical region
N020,N02.0,Recurrent and persistent hematuria with minor glomerular abnormality
N035,N03.5,Chronic nephritic syndrome with diffuse mesangiocapillary glomerulonephritis
N038,N03.8,Chronic nephritic syndrome with other morphologic changes
N052,N05.2,Unspecified nephritic syndrome with diffuse membranous glomerulonephritis
N059,N05.9,Unspecified nephritic syndrome with unspecified morphologic changes
N060,N06.0,Isolated proteinuria with minor glomerular abnormality
N10,N10,Acute pyelonephritis
N12,N12,"Tubulo-interstitial nephritis, not specified as acute or chronic"
N130,N13.0,Hydronephrosis with ureteropelvic junction obstruction
N131,N13.1,"Hydronephrosis with ureteral stricture, not elsewhere classified"
N132,N13.2,Hydronephrosis with renal and ureteral calculous obstruction
N1330,N13.30,Unspecified hydronephrosis
N1339,N13.39,Other hydronephrosis
N134,N13.4,Hydroureter
N135,N13.5,Crossing vessel and stricture of ureter without hydronephrosis
N136,N13.6,Pyonephrosis
N1370,N13.70,"Vesicoureteral-reflux, unspecified"
N1371,N13.71,Vesicoureteral-reflux without reflux nephropathy
N138,N13.8,Other obstructive and reflux uropathy
N141,N14.1,"Nephropathy induced by other drugs, medicaments and biological substances"
N170,N17.0,Acute kidney failure with tubular necrosis
N179,N17.9,"Acute kidney failure, unspecified"
N181,N18.1,"Chronic kidney disease, stage 1"
N182,N18.2,"Chronic kidney disease, stage 2 (mild)"
N183,N18.3,"Chronic kidney disease, stage 3 (moderate)"
N1830,N18.30,"Chronic kidney disease, stage 3 unspecified"
N1831,N18.31,"Chronic kidney disease, stage 3a"
N1832,N18.32,"Chronic kidney disease, stage 3b"
N184,N18.4,"Chronic kidney disease, stage 4 (severe)"
N185,N18.5,"Chronic kidney disease, stage 5"
N186,N18.6,End stage renal disease
N189,N18.9,"Chronic kidney disease, unspecified"
N19,N19,Unspecified kidney failure
N200,N20.0,Calculus of kidney
N201,N20.1,Calculus of ureter
N202,N20.2,Calculus of kidney with calculus of ureter
N209,N20.9,"Urinary calculus, unspecified"
N210,N21.0,Calculus in bladder
N23,N23,Unspecified renal colic
N2581,N25.81,Secondary hyperparathyroidism of renal origin
N2589,N25.89,Other disorders resulting from impaired renal tubular function
N270,N27.0,"Small kidney, unilateral"
N280,N28.0,Ischemia and infarction of kidney
N281,N28.1,"Cyst of kidney, acquired"
N2889,N28.89,Other specified disorders of kidney and ureter
N289,N28.9,"Disorder of kidney and ureter, unspecified"
N29,N29,Other disorders of kidney and ureter in diseases classified elsewhere
N300,N30.0,Acute cystitis
N3000,N30.00,Acute cystitis without hematuria
N3001,N30.01,Acute cystitis with hematuria
N3010,N30.10,Interstitial cystitis (chronic) without hematuria
N3011,N30.11,Interstitial cystitis (chronic) with hematuria
N3020,N30.20,Other chronic cystitis without hematuria
N3021,N30.21,Other chronic cystitis with hematuria
N3090,N30.90,"Cystitis, unspecified without hematuria"
N310,N31.0,"Uninhibited neuropathic bladder, not elsewhere classified"
N312,N31.2,"Flaccid neuropathic bladder, not elsewhere classified"
N318,N31.8,Other neuromuscular dysfunction of bladder
N319,N31.9,"Neuromuscular dysfunction of bladder, unspecified"
N320,N32.0,Bladder-neck obstruction
N3281,N32.81,Overactive bladder
N3289,N32.89,Other specified disorders of bladder
N329,N32.9,"Bladder disorder, unspecified"
N343,N34.3,"Urethral syndrome, unspecified"
N359,N35.9,"Urethral stricture, unspecified"
N35912,N35.912,"Unspecified bulbous urethral stricture, male"
N35914,N35.914,"Unspecified anterior urethral stricture, male"
N35919,N35.919,"Unspecified urethral stricture, male, unspecified site"
N361,N36.1,Urethral diverticulum
N390,N39.0,"Urinary tract infection, site not specified"
N393,N39.3,Stress incontinence (female) (male)
N3941,N39.41,Urge incontinence
N3944,N39.44,Nocturnal enuresis
N3946,N39.46,Mixed incontinence
N39498,N39.498,Other specified urinary incontinence
N398,N39.8,Other specified disorders of urinary system
N399,N39.9,"Disorder of urinary system, unspecified"
N400,N40.0,Benign prostatic hyperplasia without lower urinary tract symptoms
N401,N40.1,Benign prostatic hyperplasia with lower urinary tract symptoms
N403,N40.3,Nodular prostate with lower urinary tract symptoms
N410,N41.0,Acute prostatitis
N411,N41.1,Chronic prostatitis
N419,N41.9,"Inflammatory disease of prostate, unspecified"
N4231,N42.31,Prostatic intraepithelial neoplasia
N4232,N42.32,Atypical small acinar proliferation of prostate
N4289,N42.89,Other specified disorders of prostate
N429,N42.9,"Disorder of prostate, unspecified"
N432,N43.2,Other hydrocele
N4340,N43.40,"Spermatocele of epididymis, unspecified"
N4403,N44.03,Torsion of appendix testis
N451,N45.1,Epididymitis
N452,N45.2,Orchitis
N454,N45.4,Abscess of epididymis or testis
N4611,N46.11,Organic oligospermia
N469,N46.9,"Male infertility, unspecified"
N471,N47.1,Phimosis
N475,N47.5,Adhesions of prepuce and glans penis
N478,N47.8,Other disorders of prepuce
N481,N48.1,Balanitis
N4829,N48.29,Other inflammatory disorders of penis
N486,N48.6,Induration penis plastica
N4889,N48.89,Other specified disorders of penis
N489,N48.9,"Disorder of penis, unspecified"
N492,N49.2,Inflammatory disorders of scrotum
N503,N50.3,Cyst of epididymis
N508,N50.8,Other specified disorders of male genital organs
N50811,N50.811,Right testicular pain
N50812,N50.812,Left testicular pain
N50819,N50.819,"Testicular pain, unspecified"
N5082,N50.82,Scrotal pain
N5089,N50.89,Other specified disorders of the male genital organs
N509,N50.9,"Disorder of male genital organs, unspecified"
N5201,N52.01,Erectile dysfunction due to arterial insufficiency
N5236,N52.36,Erectile dysfunction following interstitial seed therapy
N528,N52.8,Other male erectile dysfunction
N529,N52.9,"Male erectile dysfunction, unspecified"
N5319,N53.19,Other ejaculatory dysfunction
N539,N53.9,Unspecified male sexual dysfunction
N6001,N60.01,Solitary cyst of right breast
N6002,N60.02,Solitary cyst of left breast
N6009,N60.09,Solitary cyst of unspecified breast
N6011,N60.11,Diffuse cystic mastopathy of right breast
N6012,N60.12,Diffuse cystic mastopathy of left breast
N6019,N60.19,Diffuse cystic mastopathy of unspecified breast
N6021,N60.21,Fibroadenosis of right breast
N6022,N60.22,Fibroadenosis of left breast
N6031,N60.31,Fibrosclerosis of right breast
N6041,N60.41,Mammary duct ectasia of right breast
N6042,N60.42,Mammary duct ectasia of left breast
N6081,N60.81,Other benign mammary dysplasias of right breast
N6091,N60.91,Unspecified benign mammary dysplasia of right breast
N610,N61.0,Mastitis without abscess
N611,N61.1,Abscess of the breast and nipple
N62,N62,Hypertrophy of breast
N63,N63,Unspecified lump in breast
N630,N63.0,Unspecified lump in unspecified breast
N6310,N63.10,"Unspecified lump in the right breast, unspecified quadrant"
N6311,N63.11,"Unspecified lump in the right breast, upper outer quadrant"
N6312,N63.12,"Unspecified lump in the right breast, upper inner quadrant"
N6313,N63.13,"Unspecified lump in the right breast, lower outer quadrant"
N6314,N63.14,"Unspecified lump in the right breast, lower inner quadrant"
N6315,N63.15,"Unspecified lump in the right breast, overlapping quadrants"
N6320,N63.20,"Unspecified lump in the left breast, unspecified quadrant"
N6321,N63.21,"Unspecified lump in the left breast, upper outer quadrant"
N6322,N63.22,"Unspecified lump in the left breast, upper inner quadrant"
N6324,N63.24,"Unspecified lump in the left breast, lower inner quadrant"
N6325,N63.25,"Unspecified lump in the left breast, overlapping quadrants"
N641,N64.1,Fat necrosis of breast
N643,N64.3,Galactorrhea not associated with childbirth
N644,N64.4,Mastodynia
N6452,N64.52,Nipple discharge
N6459,N64.59,Other signs and symptoms in breast
N6489,N64.89,Other specified disorders of breast
N7001,N70.01,Acute salpingitis
N7011,N70.11,Chronic salpingitis
N711,N71.1,Chronic inflammatory disease of uterus
N72,N72,Inflammatory disease of cervix uteri
N730,N73.0,Acute parametritis and pelvic cellulitis
N736,N73.6,Female pelvic peritoneal adhesions (postinfective)
N750,N75.0,Cyst of Bartholin's gland
N760,N76.0,Acute vaginitis
N761,N76.1,Subacute and chronic vaginitis
N762,N76.2,Acute vulvitis
N764,N76.4,Abscess of vulva
N7689,N76.89,Other specified inflammation of vagina and vulva
N800,N80.0,Endometriosis of uterus
N801,N80.1,Endometriosis of ovary
N802,N80.2,Endometriosis of fallopian tube
N803,N80.3,Endometriosis of pelvic peritoneum
N805,N80.5,Endometriosis of intestine
N809,N80.9,"Endometriosis, unspecified"
N810,N81.0,Urethrocele
N8110,N81.10,"Cystocele, unspecified"
N8111,N81.11,"Cystocele, midline"
N813,N81.3,Complete uterovaginal prolapse
N814,N81.4,"Uterovaginal prolapse, unspecified"
N816,N81.6,Rectocele
N8189,N81.89,Other female genital prolapse
N819,N81.9,"Female genital prolapse, unspecified"
N83,N83,"Noninflammatory disorders of ovary, fallopian tube and broad ligament"
N8301,N83.01,Follicular cyst of right ovary
N8302,N83.02,Follicular cyst of left ovary
N8311,N83.11,Corpus luteum cyst of right ovary
N8312,N83.12,Corpus luteum cyst of left ovary
N8320,N83.20,Unspecified ovarian cysts
N83201,N83.201,"Unspecified ovarian cyst, right side"
N83202,N83.202,"Unspecified ovarian cyst, left side"
N83209,N83.209,"Unspecified ovarian cyst, unspecified side"
N83291,N83.291,"Other ovarian cyst, right side"
N83292,N83.292,"Other ovarian cyst, left side"
N83311,N83.311,Acquired atrophy of right ovary
N83312,N83.312,Acquired atrophy of left ovary
N83512,N83.512,Torsion of left ovary and ovarian pedicle
N838,N83.8,"Other noninflammatory disorders of ovary, fallopian tube and broad ligament"
N839,N83.9,"Noninflammatory disorder of ovary, fallopian tube and broad ligament, unspecified"
N840,N84.0,Polyp of corpus uteri
N841,N84.1,Polyp of cervix uteri
N843,N84.3,Polyp of vulva
N8500,N85.00,"Endometrial hyperplasia, unspecified"
N8502,N85.02,Endometrial intraepithelial neoplasia [EIN]
N852,N85.2,Hypertrophy of uterus
N854,N85.4,Malposition of uterus
N857,N85.7,Hematometra
N858,N85.8,Other specified noninflammatory disorders of uterus
N870,N87.0,Mild cervical dysplasia
N871,N87.1,Moderate cervical dysplasia
N879,N87.9,"Dysplasia of cervix uteri, unspecified"
N880,N88.0,Leukoplakia of cervix uteri
N882,N88.2,Stricture and stenosis of cervix uteri
N888,N88.8,Other specified noninflammatory disorders of cervix uteri
N889,N88.9,"Noninflammatory disorder of cervix uteri, unspecified"
N898,N89.8,Other specified noninflammatory disorders of vagina
N899,N89.9,"Noninflammatory disorder of vagina, unspecified"
N904,N90.4,Leukoplakia of vulva
N906,N90.6,Hypertrophy of vulva
N907,N90.7,Vulvar cyst
N9089,N90.89,Other specified noninflammatory disorders of vulva and perineum
N909,N90.9,"Noninflammatory disorder of vulva and perineum, unspecified"
N910,N91.0,Primary amenorrhea
N911,N91.1,Secondary amenorrhea
N912,N91.2,"Amenorrhea, unspecified"
N913,N91.3,Primary oligomenorrhea
N915,N91.5,"Oligomenorrhea, unspecified"
